,Climate,Case,Outage Type,24 hr Ratio,48 hr Ratio,168 hr Ratio,24 Avg ODB,48 Avg ODB,168 Avg ODB,Total 24 hr Radiation,Avg 24 hr Sky Cover,SET Hours
279,19-Feb,Chicago-MDW,Heating,0.081072838,0.118557409,0.177166107,6.1578125,3.616927083,6.110267857,2608.4375,8.010416667,0
281,19-Jan,Chicago-MDW,Heating,0.396245759,0.489116781,0.644345741,-8.739583333,-5.857291667,-7.672767857,4560.875,5.890625,1278.73
283,19-Jan,Chicago-MDW,Heating,0.279039223,0.35934275,0.512178663,-8.739583333,-5.857291667,-7.672767857,4560.875,5.890625,677.03
285,19-Jan,Chicago-MDW,Heating,0.146364324,0.19443261,0.30069792,-8.739583333,-5.857291667,-7.672767857,4560.875,5.890625,318.99
287,19-Jan,Chicago-MDW,Heating,0.219612105,0.285843116,0.42275814,-8.739583333,-5.857291667,-7.672767857,4560.875,5.890625,14.58
289,19-Jan,Chicago-MDW,Heating,0.096107836,0.129204399,0.212897464,-8.739583333,-5.857291667,-7.672767857,4560.875,5.890625,0
291,19-Mar,Chicago-MDW,Heating,0.42914014,0.494096927,0.57938155,8.776041667,7.45703125,5.778348214,1747,9.901041667,1278.73
293,19-Mar,Chicago-MDW,Heating,0.297220109,0.351677935,0.431566099,8.776041667,7.45703125,5.778348214,1747,9.901041667,677.03
295,19-Mar,Chicago-MDW,Heating,0.144037394,0.171249596,0.223866883,8.776041667,7.45703125,5.778348214,1747,9.901041667,318.99
297,19-Mar,Chicago-MDW,Heating,0.231184191,0.27501906,0.344128282,8.776041667,7.45703125,5.778348214,1747,9.901041667,14.58
299,19-Mar,Chicago-MDW,Heating,0.082465339,0.098254043,0.122916072,8.776041667,7.45703125,5.778348214,1747,9.901041667,0
301,1-Apr,Chicago-MDW,Heating,0.097084594,0.093839389,0.376785681,19.10208333,19.1296875,15.1796131,5293.875,6.5,1278.73
